dataset,predictor,n,pos,neg,intercept,coef,theta,threshold_percentile,auc_fullsample
Seshat_eta_ratio_w100,eta_ratio,21,8,13,-0.7576381260686093,0.4429083555370368,1.7105979523686232,80.95238095238095,0.6875
SPC1_w100,SPC1,102,34,68,-2.096937301736838,0.41687274769389493,5.030161634064397,96.07843137254902,0.639273356401384
