dataset,predictor,n,pos,neg,theta_mean,theta_sd,threshold_percentile,auc_mean,auc_sd
Seshat_eta_ratio_w100,eta_ratio,21,8,13,2.116611951808607,0.96439804601655,95.23809523809523,0.725,0.4366062299143246
SPC1_w100,SPC1,102,34,68,5.059305008178518,0.33249260655381496,96.07843137254902,0.6396520146520147,0.099218148800965
