eim_slug,PolID,NGA,year,Pop,Terr,Hier,Gov,Infra,Info,Money,log_Pop,log_Terr,z_log_Pop,z_log_Terr,z_Hier,z_Gov,z_Infra,z_Info,z_Money,E,I,E_prev,I_prev,dE,dI,eta_E,eta_I,eta_ratio,collapse_year,formation_year,years_to_collapse,collapse_next_100y,collapse_next_50y,collapse_next_150y
achaemenid_persia,IrAchae,Sogdiana,-500,7.016342619,6.133334338,6.5,0.990909091,0.972727273,0.946153846,0.6,2.081482285320318,1.964778774200808,-0.425173047625113,-0.4241749832682994,0.0,-1.0,-1.0,1.0,-0.4264014327112201,-0.4246740154467062,-0.285280286542244,-0.4246740154467062,-0.285280286542244,0.0,0.0,-0.0,-0.0,,-330.0,-565.0,170.0,0,0,0
achaemenid_persia,IrAchae,Kachi Plain,-500,7.016342619,6.133334338,6.5,0.990909091,0.972727273,0.946153846,0.6,2.081482285320318,1.964778774200808,-0.425173047625113,-0.4241749832682994,0.0,-1.0,-1.0,1.0,-0.4264014327112201,-0.4246740154467062,-0.285280286542244,-0.4246740154467062,-0.285280286542244,0.0,0.0,-0.0,-0.0,,-330.0,-565.0,170.0,0,0,0
achaemenid_persia,IrAchae,Southern Mesopotamia,-400,7.016342619,6.133334338,6.5,0.990909091,0.972727273,0.946153846,0.6,2.081482285320318,1.964778774200808,-0.425173047625113,-0.4241749832682994,0.0,-1.0,-1.0,1.0,-0.4264014327112201,-0.4246740154467062,-0.285280286542244,-0.4246740154467062,-0.285280286542244,0.0,0.0,-0.0,-0.0,,-330.0,-565.0,70.0,1,0,1
achaemenid_persia,IrAchae,Susiana,-400,7.414973348,6.608793374,6.5,0.990909091,0.972727273,0.946153846,0.833333333,2.130012660436328,2.029304601351888,2.531834012267516,2.072766111682748,0.0,-1.0,-1.0,1.0,2.345207879911716,2.302300061975132,0.2690415759823431,-0.4246740154467062,-0.285280286542244,2.726974077421838,0.5543218625245872,-6.421334902144619,-1.9430780487613668,0.3025972135657355,-330.0,-565.0,70.0,1,0,1
achaemenid_persia,IrAchae,Galilee,-400,7.016342619,6.133334338,6.5,0.990909091,0.972727273,0.946153846,0.6,2.081482285320318,1.964778774200808,-0.425173047625113,-0.4241749832682994,0.0,-1.0,-1.0,1.0,-0.4264014327112201,-0.4246740154467062,-0.285280286542244,2.302300061975132,0.2690415759823431,-2.726974077421838,-0.5543218625245872,-1.1844564148959715,-2.060357625027318,1.7394963623108708,-330.0,-565.0,70.0,1,0,1
achaemenid_persia,IrAchae,Konya Plain,-400,7.016342619,6.133334338,6.5,0.990909091,0.972727273,0.946153846,0.6,2.081482285320318,1.964778774200808,-0.425173047625113,-0.4241749832682994,0.0,-1.0,-1.0,1.0,-0.4264014327112201,-0.4246740154467062,-0.285280286542244,-0.4246740154467062,-0.285280286542244,0.0,0.0,-0.0,-0.0,,-330.0,-565.0,70.0,1,0,1
achaemenid_persia,IrAchae,Sogdiana,-400,7.016342619,6.133334338,6.5,0.990909091,0.972727273,0.946153846,0.6,2.081482285320318,1.964778774200808,-0.425173047625113,-0.4241749832682994,0.0,-1.0,-1.0,1.0,-0.4264014327112201,-0.4246740154467062,-0.285280286542244,-0.4246740154467062,-0.285280286542244,0.0,0.0,-0.0,-0.0,,-330.0,-565.0,70.0,1,0,1
achaemenid_persia,IrAchae,Kachi Plain,-400,7.016342619,6.133334338,6.5,0.990909091,0.972727273,0.946153846,0.6,2.081482285320318,1.964778774200808,-0.425173047625113,-0.4241749832682994,0.0,-1.0,-1.0,1.0,-0.4264014327112201,-0.4246740154467062,-0.285280286542244,-0.4246740154467062,-0.285280286542244,0.0,0.0,-0.0,-0.0,,-330.0,-565.0,70.0,1,0,1
ayyubid_sultanate_of_egypt,EgAyyub,Upper Egypt,1200,6.966141733,6.202760687,5.833333333,0.8,0.909090909,1.0,0.833333333,2.075200276843201,1.9744643812819915,1.0000000000001112,1.0000000000000238,0.0,0.0,0.0,0.0,0.0,1.0000000000000675,0.0,,,,,,,,1250.0,1171.0,50.0,1,1,1
ayyubid_sultanate_of_egypt,EgAyyub,Yemeni Coastal Plain,1200,6.934399598,6.13579255,5.833333333,0.8,0.909090909,1.0,0.833333333,2.0712076860872743,1.965123323947069,-0.9999999999998888,-0.9999999999999762,0.0,0.0,0.0,0.0,0.0,-0.9999999999999324,0.0,1.0000000000000675,0.0,-2.0,0.0,-1.999999999999865,,,1250.0,1171.0,50.0,1,1,1
